date,gdp,gdp_yoy,orders,employment,consumer_sentiment,unemploy_claims,bus_outlook,auto_sales,construction,itrade,wtrade
1977-09-30,2118.5,5.8,,277227.0,,4751000.0,17.599999999999998,44.15,,,
1977-12-31,2164.3,5.0,,280918.0,,5007000.0,21.566666666666666,44.874,,,
1978-03-31,2202.8,4.1,,283658.0,82.26666666666667,4333000.0,13.600000000000001,43.233000000000004,,,
1978-06-30,2331.6,6.1,,287506.0,81.5,4235000.0,23.066666666666666,48.843999999999994,,,
1978-09-30,2395.1,5.2,,289191.0,80.4,4759000.0,21.166666666666668,46.214,,,
1978-12-31,2476.9,6.7,,292199.0,73.46666666666665,4413000.0,14.633333333333333,46.667,,,
1979-03-31,2526.6,6.5,,294757.0,71.46666666666667,4654000.0,2.7999999999999994,45.657,,,
1979-06-30,2591.2,2.7,,295113.0,66.63333333333333,4854000.0,-3.0666666666666664,41.86,,,
1979-09-30,2667.6,2.4,,297122.0,63.866666666666674,5021000.0,-18.466666666666665,42.748,,,
1979-12-31,2723.9,1.3,,298911.0,62.13333333333333,5403000.0,-21.433333333333334,39.633,,,
1980-03-31,2789.8,1.4,,299587.0,63.46666666666667,5498000.0,-19.599999999999998,39.792,,,
1980-06-30,2797.4,-0.8,,296860.0,54.366666666666674,7626000.0,-48.26666666666667,30.433,,,
1980-09-30,2856.5,-1.6,,296697.0,67.76666666666667,6809000.0,-35.6,33.730000000000004,,,
1980-12-31,2985.6,0.0,,298496.0,72.06666666666666,5455000.0,13.700000000000001,33.608000000000004,,,
1981-03-31,3124.2,1.6,,300717.0,68.26666666666667,5410000.0,5.1000000000000005,36.06,,,
1981-06-30,3162.5,3.0,,302402.0,73.93333333333334,5455000.0,1.933333333333333,31.259,,,
1981-09-30,3260.6,4.3,,301446.0,74.8,5867000.0,9.933333333333334,34.189,,,
1981-12-31,3280.8,1.3,,300230.0,65.7,6715000.0,-24.46666666666667,27.967,,,
1982-03-31,3274.3,-2.2,,299126.0,66.5,7037000.0,-17.0,31.86,,,
1982-06-30,3332.0,-1.0,,299235.0,66.23333333333333,7665000.0,-1.8666666666666665,30.463,,,
1982-09-30,3366.3,-2.6,,298630.0,66.7,8041000.0,-4.666666666666667,30.835,,,
1982-12-31,3402.6,-1.4,,297359.0,72.46666666666667,7734000.0,9.299999999999999,33.419,,,
1983-03-31,3473.4,1.4,,297429.0,75.26666666666667,6381000.0,21.766666666666666,32.496,,,
1983-06-30,3578.8,3.3,,299835.0,91.53333333333335,6129000.0,39.03333333333333,36.661,,,
1983-09-30,3689.2,5.7,,304832.0,91.2,5418000.0,43.9,37.614000000000004,,,
1983-12-31,3794.7,7.9,,307764.0,91.53333333333335,5425000.0,40.5,40.939,,,
1984-03-31,3908.1,8.6,,310992.0,99.5,4490000.0,35.93333333333333,42.801,,,
1984-06-30,4009.6,8.0,,315120.0,96.56666666666666,4725000.0,32.1,43.885999999999996,,,
1984-09-30,4084.3,6.9,,316088.0,98.86666666666667,4977000.0,15.799999999999999,42.995999999999995,,,
1984-12-31,4148.6,5.6,,317833.0,94.96666666666665,5233000.0,6.733333333333333,44.018,,,
1985-03-31,4230.2,4.6,,319846.0,94.46666666666665,4954000.0,15.766666666666666,46.645,,,
1985-06-30,4294.9,3.7,,320373.0,94.3,5126000.0,5.2,46.175,,,
1985-09-30,4386.8,4.3,,321559.0,92.83333333333333,5169000.0,6.8999999999999995,51.512,,,
